date,time,open_price,high_price,low_price,close_price
2023-03-20,07:02:00,28133.38,28158.05,28127.69,28144.12
2023-03-20,07:03:00,28144.12,28159.5,28110.0,28155.26
2023-03-20,07:04:00,28153.03,28162.62,28141.09,28155.0
2023-03-20,07:05:00,28155.0,28157.73,28135.68,28152.44
2023-03-20,07:06:00,28152.44,28175.08,28130.0,28142.58
2023-03-20,07:07:00,28142.58,28160.0,28130.21,28134.05
2023-03-20,07:08:00,28135.78,28145.1,28118.0,28134.34
2023-03-20,07:09:00,28135.88,28137.62,28102.67,28120.0
2023-03-20,07:10:00,28118.05,28129.58,28105.0,28124.81
2023-03-20,07:11:00,28124.65,28144.05,28120.0,28138.75
2023-03-20,07:12:00,28138.75,28146.0,28130.99,28138.51
2023-03-20,07:13:00,28140.09,28165.9,28125.0,28159.99
